iter	RMSE
0	23.0896795
1	22.64248873
2	22.24712605
3	21.87398389
4	21.52878587
5	21.18322799
6	20.86518983
7	20.55927778
8	20.294015
9	20.0167284
10	19.77081945
11	19.52758096
12	19.31484233
13	19.10705925
14	18.90267452
15	18.73181112
16	18.58095042
17	18.41788059
18	18.27498367
19	18.13104806
20	18.00515297
21	17.88569066
22	17.77554728
23	17.66853043
24	17.57657283
25	17.48794844
26	17.40895498
27	17.33491967
28	17.26819524
29	17.19476706
30	16.86471715
31	17.06740297
32	17.01541905
33	16.97274839
34	16.92134845
35	16.88102421
36	16.84302079
37	16.80305282
38	16.76994094
39	16.70922086
40	16.66954994
41	16.6361192
42	16.60796961
43	16.5809557
44	16.55965245
45	16.52268428
46	16.49110346
47	16.46980961
48	16.44811906
49	16.41839243
50	16.38939334
51	16.36232069
52	16.32061303
53	16.29662389
54	16.28087194
55	16.26499688
56	16.2536016
57	16.22745441
58	16.21628264
59	16.20349682
60	16.17805131
61	16.16159962
62	16.15224064
63	16.13648756
64	16.12288547
65	16.11453964
66	16.10782593
67	16.09550881
68	16.07402589
69	16.06436994
70	16.0480993
71	16.03738509
72	16.02187631
73	16.01302579
74	15.99738585
75	15.96259941
76	15.94341555
77	15.91129286
78	15.87995644
79	15.86718285
80	15.84111367
81	15.8344997
82	15.79996784
83	15.79513351
84	15.78446585
85	15.74709579
86	15.74158428
87	15.73307964
88	15.72882683
89	15.72057021
90	15.71355646
91	15.7091572
92	15.67945007
93	15.65679152
94	15.65280393
95	15.63262414
96	15.61363178
97	15.60067466
98	15.59429902
99	15.56946262
100	15.55760477
101	15.54578033
102	15.54176622
103	15.53054467
104	15.51349659
105	15.50428662
106	15.4949032
107	15.46102157
108	15.44552982
109	15.42324424
110	15.42048503
111	15.39205314
112	15.38526829
113	15.37694325
114	15.374831
115	15.36127403
116	15.35169313
117	15.34308175
118	15.33837623
119	15.31019639
120	15.29062237
121	15.26371092
122	15.2564987
123	15.24842197
124	15.24007254
125	15.23510507
126	15.21043652
127	15.17555585
128	15.16778422
129	15.15437899
130	15.15377594
131	15.151195
132	15.14973992
133	15.1409575
134	15.11397889
135	15.09511114
136	15.0919694
137	15.07857229
138	15.04545236
139	15.04111245
140	15.03092952
141	15.02326169
142	15.01722472
143	15.00900066
144	15.00521635
145	14.98138547
146	14.97549112
147	14.97270588
148	14.9690279
149	14.96694429
150	14.95813678
151	14.92519686
152	14.91339361
153	14.91022881
154	14.87834033
155	14.87343571
156	14.86644934
157	14.84596711
158	14.84417263
159	14.81914471
160	14.80132679
161	14.79305706
162	14.79159588
163	14.78942886
164	14.77531146
165	14.76434461
166	14.74282759
167	14.72931793
168	14.69781762
169	14.67728092
170	14.67504955
171	14.6522122
172	14.63887972
173	14.61544423
174	14.60975183
175	14.59718028
176	14.59334233
177	14.59193517
178	14.57058845
179	14.5622577
180	14.56097314
181	14.55563868
182	14.55414942
183	14.55192374
184	14.54105895
185	14.52989074
186	14.51721489
187	14.51409794
188	14.482707
189	14.47541069
190	14.46981879
191	14.46197913
192	14.45818002
193	14.44944327
194	14.44225423
195	14.43481926
196	14.42766816
197	14.41984764
198	14.41264709
199	14.38172471
200	14.37210078
201	14.36882352
202	14.36478947
203	14.3515446
204	14.3451068
205	14.34212096
206	14.33641923
207	14.3284958
208	14.32238848
209	14.3158258
210	14.28515875
211	14.25552051
212	14.24858861
213	14.24530902
214	14.23997912
215	14.23377151
216	14.22660908
217	14.22316632
218	14.21739104
219	14.18726206
220	14.17763218
221	14.16244821
222	14.15649841
223	14.14546175
224	14.13773976
225	14.131144
226	14.12612028
227	14.12290758
228	14.11636885
229	14.1093218
230	14.10334771
231	14.09750597
232	14.09143397
233	14.08326956
234	14.07837017
235	14.06539919
236	14.05920693
237	14.04974096
238	14.04743603
239	14.04282811
240	14.02447466
241	14.00071748
242	13.99515384
243	13.98869567
244	13.98344225
245	13.96911204
246	13.94121152
247	13.92627897
248	13.90372642
249	13.88885343
250	13.88116983
251	13.87993127
252	13.86791483
253	13.86269648
254	13.85471377
255	13.84299038
256	13.82932524
257	13.82190242
258	13.79406811
259	13.79060959
260	13.78705143
261	13.78460357
262	13.77767791
263	13.75135665
264	13.74954673
265	13.72925656
266	13.72747995
267	13.70191348
268	13.7008017
269	13.69350523
270	13.6677216
271	13.65781076
272	13.65721177
273	13.64402381
274	13.63329178
275	13.62805386
276	13.60358899
277	13.60136513
278	13.57651943
279	13.56485433
280	13.56010139
281	13.5365889
282	13.52997231
283	13.52589271
284	13.51684756
285	13.49370593
286	13.47119097
287	13.46771173
288	13.46376766
289	13.45165144
290	13.44821726
291	13.44771384
292	13.44135045
293	13.43518366
294	13.43410185
295	13.42477616
296	13.42424692
297	13.40222454
298	13.38066148
299	13.36975023
300	13.36663589
301	13.36530116
302	13.35478636
303	13.34330761
304	13.32214828
305	13.31599448
306	13.30566048
307	13.29832753
308	13.28852219
309	13.27265628
310	13.26222258
311	13.26177103
312	13.25845019
313	13.25531074
314	13.24753442
315	13.23872093
316	13.23122758
317	13.22744062
318	13.20681623
319	13.20639805
320	13.20599063
321	13.19967333
322	13.19152044
323	13.17826851
324	13.17699638
325	13.1567696
326	13.15106261
327	13.14388368
328	13.137145
329	13.13037025
330	13.12953862
331	13.12228208
332	13.11574994
333	13.11195429
334	13.09209511
335	13.08088801
336	13.07462606
337	13.05503604
338	13.05248496
339	13.03343733
340	13.01381859
341	13.00423502
342	12.9859708
343	12.97535843
344	12.97098968
345	12.96048276
346	12.95443017
347	12.93652867
348	12.91341636
349	12.90755198
350	12.90674239
351	12.90560126
352	12.89568408
353	12.89006202
354	12.88453281
355	12.8814112
356	12.87598466
357	12.8581248
358	12.84089881
359	12.83707467
360	12.82777175
361	12.8224067
362	12.81729948
363	12.81589271
364	12.8081856
365	12.80324428
366	12.79382018
367	12.79307066
368	12.77040219
369	12.75341749
370	12.73678466
371	12.73542565
372	12.73410193
373	12.72400982
374	12.70177967
375	12.700487
376	12.68420287
377	12.67941534
378	12.66868319
379	12.66400049
380	12.6480766
381	12.64681526
382	12.64352775
383	12.63137464
384	12.6159871
385	12.61101341
386	12.60287977
387	12.59724361
388	12.59279433
389	12.58849938
390	12.58729137
391	12.57856332
392	12.56353342
393	12.54880148
394	12.53944489
395	12.52503223
396	12.50296009
397	12.50164157
398	12.48749302
399	12.47361762
400	12.45114804
401	12.4499591
402	12.44917064
403	12.44501573
404	12.44346252
405	12.41799544
406	12.41482899
407	12.41229797
408	12.39872249
409	12.37767745
410	12.36185608
411	12.35156568
412	12.3381725
413	12.33571385
414	12.33500166
415	12.33387431
416	12.33240507
417	12.33004409
418	12.31691742
419	12.31527839
420	12.30159003
421	12.2813982
422	12.27595137
423	12.26533172
424	12.26340217
425	12.25932358
426	12.25702578
427	12.2442236
428	12.24149371
429	12.22893655
430	12.2239188
431	12.21148955
432	12.1995128
433	12.19793783
434	12.18664821
435	12.18443615
436	12.17943691
437	12.17483122
438	12.17426669
439	12.17297223
440	12.16847209
441	12.1463241
442	12.14086216
443	12.12118801
444	12.11860061
445	12.11766883
446	12.11265716
447	12.10513845
448	12.0998194
449	12.07759794
450	12.06894032
451	12.05980497
452	12.04794416
453	12.03601321
454	12.01763579
455	12.01709078
456	12.00547263
457	12.00398181
458	11.99411608
459	11.99138817
460	11.98743476
461	11.98130567
462	11.97290952
463	11.97145237
464	11.96399058
465	11.96256666
466	11.95461221
467	11.93219114
468	11.92087943
469	11.90110337
470	11.88076448
